english_name,korean_name,url,status,max_views,current_views,removed_date,last_updated
r-chosun_hrw,조선대 HRW,https://gall.dcinside.com/board/view/?id=chosun&no=197314,Removed,110,0,2025-09-07,2026-02-19
r-incheon_hrw,인천대 HRW,https://gall.dcinside.com/board/view/?id=incheon&no=158891,Removed,71,0,2025-08-19,2026-02-19
r-ajou_hrw,아주대 HRW,https://gall.dcinside.com/board/view/?id=ajou&no=676437,Removed,63,0,2025-08-13,2026-02-19
r-hallym_hrw,한림대 HRW,https://gall.dcinside.com/board/view/?id=hallym&no=33171,Removed,63,0,2025-08-18,2026-02-19
korea_hrw,고려대 HRW,https://gall.dcinside.com/board/view/?id=koreauniversity&no=143718,Removed,83,0,2025-09-11,2026-02-19
seoul_womens_uni_hrw,서울여대 HRW,https://gall.dcinside.com/board/view/?id=swu&no=9312,Removed,50,0,2025-08-18,2026-02-19
r-pusan_hrw,부산대 HRW,https://gall.dcinside.com/board/view/?id=pusanu&no=652838,Removed,87,0,2025-08-31,2026-02-19
r-andong_hrw,안동대 HRW,https://gall.dcinside.com/mgallery/board/view/?id=anu&no=7413,Active,303,303,,2026-02-19
dongguk_hrw,동국대 HRW,https://gall.dcinside.com/board/view/?id=dongguk&no=128431,Active,280,280,,2026-02-19
yonsei_hrw,연세대 HRW,https://gall.dcinside.com/board/view/?id=yonseiuniversity&no=156897,Removed,68,0,2025-09-04,2026-02-19
chungang_hrw,중앙대 HRW,https://gall.dcinside.com/board/view/?id=cau&no=372666,Removed,55,0,2025-08-13,2026-02-19
hongik_hrw,홍익대 HRW,https://gall.dcinside.com/board/view/?id=hongik&no=195932,Removed,39,0,2025-08-13,2026-02-19
hanyang_hrw,한양대 HRW,https://gall.dcinside.com/board/view/?id=hanyang&no=202453,Removed,56,0,2025-08-13,2026-02-19
ewha_hrw,이화여대 HRW,https://gall.dcinside.com/board/view/?id=ewhawomans_univ&no=41322,Removed,44,0,2025-08-12,2026-02-19
r-kangwon_hrw,강원대 HRW,https://gall.dcinside.com/board/view/?id=kangwon&no=194413,Active,286,286,,2026-02-19
r-jeju_hrw,제주대 HRW,https://gall.dcinside.com/board/view/?id=cheju&no=33568,Removed,51,0,2025-08-13,2026-02-19
university_students_hrw,대학생 HRW,https://gall.dcinside.com/mgallery/board/view/?id=univ&no=489,Active,265,265,,2026-02-19
sungshin_womens_hrw,성신여대 HRW,https://gall.dcinside.com/board/view/?id=sungshin&no=36989,Removed,44,0,2025-08-12,2026-02-19
sejong_hrw,세종대 HRW,https://gall.dcinside.com/board/view/?id=sejong&no=260456,Removed,73,0,2025-08-18,2026-02-19
sogang_hrw,서강대 HRW,https://gall.dcinside.com/board/view/?id=sogang&no=649736,Active,295,295,,2026-02-19
kyunghee_hrw,경희대 HRW,https://gall.dcinside.com/board/view/?id=khu&no=444103,Removed,64,0,2025-08-17,2026-02-19
sookmyung_womens_hrw,숙명여대 HRW,https://gall.dcinside.com/board/view/?id=sookmyungwomans_univ&no=22584,Removed,45,0,2025-08-18,2026-02-19
seoul_municipal_hrw,서울시립대 HRW,https://gall.dcinside.com/board/view/?id=uos&no=235849,Removed,97,0,2025-09-06,2026-02-19
feminism_hrw,페미니즘 HRW,https://gall.dcinside.com/mgallery/board/view/?id=feminism1&no=726,Active,260,260,,2026-02-19
konkuk_hrw,건국대 HRW,https://gall.dcinside.com/board/view/?id=konkuk&no=205900,Removed,67,0,2025-08-23,2026-02-19
r-bukyeong_hrw,부경대 HRW,https://gall.dcinside.com/board/view/?id=pknu&no=344704,Removed,0,0,2025-07-21,2026-02-19
r-honam_hrw,호남대 HRW,https://gall.dcinside.com/mgallery/board/view/?id=honam&no=739,Active,280,280,,2026-02-19
sungyunkwan_hrw,성균관대 HRW,https://gall.dcinside.com/board/view/?id=skku&no=309293,Removed,91,0,2025-08-26,2026-02-19
r-dong_a_hrw,동아대 HRW,https://gall.dcinside.com/board/view/?id=dongau&no=426390,Removed,72,0,2025-08-17,2026-02-19
k_arts_hrw,한국예술종합학교 HRW,https://gall.dcinside.com/mgallery/board/view/?id=knua&no=552,Removed,106,0,2025-09-28,2026-02-19
k_arts_warning_custom,한국예술종합학교 경고,https://gall.dcinside.com/mgallery/board/view/?id=knua&no=556,Removed,145,0,2025-09-28,2026-02-19
dongguk_ubc_fraud,동국대 UBC 사기,https://gall.dcinside.com/board/view/?id=dongguk&no=128568,Active,423,423,,2026-02-19
dongguk_cdn_emb,동국대 캐나다 외교,https://gall.dcinside.com/board/view/?id=dongguk&no=128569,Removed,0,0,2025-09-16,2026-02-19
donggu_ubc_foi,동국대 UBC 정보공개,https://gall.dcinside.com/board/view/?id=dongguk&no=128966,Active,245,245,,2026-02-19
dongguk_soton_fraud,동국대 사우스햄튼 사기,https://gall.dcinside.com/board/view/?id=dongguk&no=128993,Active,274,274,,2026-02-19
dongguk_tsinghua_warning,동국대 칭화대 경고,https://gall.dcinside.com/board/view/?id=dongguk&no=129005,Active,214,214,,2026-02-19
dongguk_bfsu_fraud,동국대 북경외대 사기,https://gall.dcinside.com/board/view/?id=dongguk&no=129009,Active,177,177,,2026-02-19
dongguk_hit_fraud,동국대 하얼빈공대 사기,https://gall.dcinside.com/board/view/?id=dongguk&no=129010,Active,240,240,,2026-02-19
dongguk_peking_fraud,동국대 북경대 사기,https://gall.dcinside.com/board/view/?id=dongguk&no=129011,Active,178,178,,2026-02-19
dongguk_china_4_frauds,동국대 중국 4개대 사기,https://gall.dcinside.com/board/view/?id=dongguk&no=129015,Active,277,277,,2026-02-19
dongguk_oceania_6_frauds,동국대 오세아니아 6개대 사기,https://gall.dcinside.com/board/view/?id=dongguk&no=129026,Removed,0,0,2025-12-31,2026-02-19
dongguk_30_frauds,동국대 30개대 사기,https://gall.dcinside.com/board/view/?id=dongguk&no=129031,Active,361,361,,2026-02-19
dongguk_aacsb_warning,동국대 AACSB 경고,https://gall.dcinside.com/board/view/?id=dongguk&no=129062,Active,208,208,,2026-02-19
dongguk_soton_safety_breach,동국대 사우스햄튼 안전위반,https://gall.dcinside.com/board/view/?id=dongguk&no=129068,Active,198,198,,2026-02-19
dongguk_scrubbing_fail,동국대 파트너 삭제 실패,https://gall.dcinside.com/board/view/?id=dongguk&no=129141,Removed,379,0,2026-01-23,2026-02-19
dongguk_zero_canada,동국대 캐나다 0곳,https://gall.dcinside.com/board/view/?id=dongguk&no=129142,Active,187,187,,2026-02-19
seoul_national_fake_partners,서울대 파트너 허위,https://gall.dcinside.com/board/view/?id=seouluniversity&no=234659,Removed,134,0,2026-01-28,2026-02-19
