english_name,korean_name,url,status,max_views,current_views,removed_date,last_updated
sungyunkwan_military_lgbt,성균관대 군대 LGBT,https://gall.dcinside.com/board/view/?id=skku&no=309252,Removed,0,0,2025-07-06,2026-02-19
dongguk_military_lgbt,동국대 군대 LGBT,https://gall.dcinside.com/board/view/?id=dongguk&no=128409,Removed,0,0,2025-07-06,2026-02-19
dongdeok_womens_military_lgbt,동덕여자대 군대 LGBT,https://gall.dcinside.com/board/view/?id=dongduk&no=466854,Removed,0,0,2025-07-06,2026-02-19
sogang_military_lgbt,서강대 군대 LGBT,https://gall.dcinside.com/board/view/?id=sogang&no=649510,Removed,0,0,2025-07-06,2026-02-19
seoul_municipal_military_lgbt,서울시립대 군대 LGBT,https://gall.dcinside.com/board/view/?id=uos&no=235824,Removed,0,0,2025-07-06,2026-02-19
duksung_military_lgbt,덕성여자대 군대 LGBT,https://gall.dcinside.com/board/view/?id=duksung&no=22882,Removed,0,0,2025-07-06,2026-02-19
yonsei_military_lgbt,연세대 군대 LGBT,https://gall.dcinside.com/board/view/?id=yonseiuniversity&no=156861,Removed,0,0,2025-07-06,2026-02-19
chungang_military_lgbt,중앙대 군대 LGBT,https://gall.dcinside.com/board/view/?id=cau&no=372646,Removed,0,0,2025-07-06,2026-02-19
hufs_military_lgbt,한국외국어대 군대 LGBT,https://gall.dcinside.com/board/view/?id=hufs&no=248778,Removed,0,0,2025-07-06,2026-02-19
k_arts_military_lgbt,한국예술종합학교 군대 LGBT,https://gall.dcinside.com/mgallery/board/view/?id=knua&no=546,Removed,0,0,2025-07-06,2026-02-19
korea_military_lgbt,고려대 군대 LGBT,https://gall.dcinside.com/board/view/?id=koreauniversity&no=143658,Removed,0,0,2025-07-06,2026-02-19
university_students_military_lgbt,대학생 군대 LGBT,https://gall.dcinside.com/mgallery/board/view/?id=univ&no=482,Removed,0,0,2025-07-06,2026-02-19
sejong_military_lgbt,세종대 군대 LGBT,https://gall.dcinside.com/board/view/?id=sejong&no=260444,Removed,0,0,2025-07-06,2026-02-19
kyunghee_military_lgbt,경희대 군대 LGBT,https://gall.dcinside.com/board/view/?id=khu&no=444082,Removed,0,0,2025-07-06,2026-02-19
seoul_womens_uni_military_lgbt,서울여자대 군대 LGBT,https://gall.dcinside.com/board/view/?id=swu&no=9289,Removed,0,0,2025-07-06,2026-02-19
hongik_military_lgbt,홍익대 군대 LGBT,https://gall.dcinside.com/board/view/?id=hongik&no=195904,Removed,0,0,2025-07-06,2026-02-19
hanyang_military_lgbt,한양대 군대 LGBT,https://gall.dcinside.com/board/view/?id=hanyang&no=202433,Removed,0,0,2025-07-06,2026-02-19
ewha_military_lgbt,이화여자대 군대 LGBT,https://gall.dcinside.com/board/view/?id=ewhawomans_univ&no=41287,Removed,0,0,2025-07-06,2026-02-19
konkuk_military_lgbt,건국대 군대 LGBT,https://gall.dcinside.com/board/view/?id=konkuk&no=205842,Removed,0,0,2025-07-06,2026-02-19
sungshin_womens_military_lgbt,성신여자대 군대 LGBT,https://gall.dcinside.com/board/view/?id=sungshin&no=36955,Removed,0,0,2025-07-06,2026-02-19
sookmyung_womens_military_lgbt,숙명여자대 군대 LGBT,https://gall.dcinside.com/board/view/?id=sookmyungwomans_univ&no=22568,Removed,0,0,2025-07-06,2026-02-19
suwon_womens_uni_military_lgbt,수원여자대 군대 LGBT,https://gall.dcinside.com/mini/board/view/?id=swu&no=34,Removed,0,0,2025-07-06,2026-02-19
r-pusan,부산대,https://gall.dcinside.com/board/view/?id=pusanu&no=652819,Removed,109,0,2025-08-31,2026-02-19
r-dong_a,동아대,https://gall.dcinside.com/board/view/?id=dongau&no=426384,Removed,89,0,2026-02-13,2026-02-19
r-bukyeong,부경대,https://gall.dcinside.com/board/view/?id=pknu&no=344285,Removed,0,0,2026-02-13,2026-02-19
r-busan_foreign,부산외국어대,https://gall.dcinside.com/mgallery/board/view/?id=bufs&no=8598,Active,383,383,,2026-02-19
r-inje,인제대,https://gall.dcinside.com/mgallery/board/view/?id=inje&no=2483,Active,359,359,,2026-02-19
r-gyeongsang_nat,경상국립대,https://gall.dcinside.com/board/view/?id=gsnu&no=107102,Removed,92,0,2026-02-13,2026-02-19
r-changwon,창원대,https://gall.dcinside.com/board/view/?id=changwon&no=47239,Removed,107,0,2026-02-13,2026-02-19
r-chungnam_nat,충남대,https://gall.dcinside.com/board/view/?id=cnu&no=172852,Active,355,355,,2026-02-19
r-kaist,KAIST,https://gall.dcinside.com/board/view/?id=kaist&no=26667,Removed,76,0,2026-02-13,2026-02-19
r-chungbuk_nat,충북대,https://gall.dcinside.com/board/view/?id=chungbuk&no=225346,Active,445,445,,2026-02-19
r-paichai,배재대,https://gall.dcinside.com/board/view/?id=pcu&no=67703,Removed,67,0,2026-02-13,2026-02-19
r-jeonbuk_nat,전북대,https://gall.dcinside.com/board/view/?id=chonbuk&no=282011,Removed,71,0,2025-08-18,2026-02-19
r-kyungpook,경북대,https://gall.dcinside.com/mini/board/view/?id=knu&no=79,Active,254,254,,2026-02-19
r-keimyung,계명대,https://gall.dcinside.com/board/view/?id=kmu&no=96173,Removed,100,0,2025-08-17,2026-02-19
r-yeungnam,영남대,https://gall.dcinside.com/board/view/?id=ynu&no=396115,Removed,168,0,2025-09-07,2026-02-19
r-daegu,대구대,https://gall.dcinside.com/board/view/?id=daegu&no=86628,Removed,84,0,2025-08-17,2026-02-19
r-andong,안동대,https://gall.dcinside.com/mgallery/board/view/?id=anu&no=7409,Active,366,366,,2026-02-19
r-chonnam,전남대,https://gall.dcinside.com/board/view/?id=chonnam&no=261250,Removed,92,0,2025-08-22,2026-02-19
r-chosun,조선대,https://gall.dcinside.com/board/view/?id=chosun&no=197304,Active,396,396,,2026-02-19
r-honam,호남대,https://gall.dcinside.com/mgallery/board/view/?id=honam&no=738,Active,299,299,,2026-02-19
r-inha,인하대,https://gall.dcinside.com/board/view/?id=inha&no=1182344,Removed,159,0,2025-08-12,2026-02-19
r-incheon,인천대,https://gall.dcinside.com/board/view/?id=incheon&no=158760,Removed,108,0,2025-08-19,2026-02-19
r-ajou,아주대,https://gall.dcinside.com/board/view/?id=ajou&no=676433,Removed,92,0,2025-08-13,2026-02-19
r-dankook,단국대,https://gall.dcinside.com/board/view/?id=dankook&no=328290,Removed,318,0,2025-08-17,2026-02-19
r-gachon,가천대,https://gall.dcinside.com/board/view/?id=kyungwon&no=260446,Active,356,356,,2026-02-19
r-kyonggi,경기대,https://gall.dcinside.com/board/view/?id=kyonggi&no=121471,Removed,133,0,2025-08-17,2026-02-19
